Both Price And Arrival from 07-Jan-2018 To 31-Dec-2023 Total Arrival- 256.17,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1000,1400,1200,20-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1100,1300,1200,19-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.9,1300,1500,1400,17-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1000,1200,1100,16-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.6,1100,1300,1200,15-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,14-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,13-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.6,1100,1300,1200,12-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.7,1100,1300,1200,10-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.6,1100,1300,1200,09-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.6,1100,1300,1200,08-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.6,1100,1300,1200,07-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.7,1100,1300,1200,06-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.6,1100,1300,1200,05-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,03-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,1100,1300,1200,02-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1100,1300,1200,01-Dec-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.6,1100,1300,1200,30-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1200,1400,1300,29-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,700,900,800,28-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,27-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1100,1300,1200,25-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1000,1200,1100,24-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,23-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,22-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,1100,1300,1200,21-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,19-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.2,1200,1300,1250,18-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,16-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1100,1300,1200,15-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.2,1200,1300,1250,14-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,800,1000,900,12-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.7,1100,1300,1200,11-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.7,1200,1400,1300,10-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,09-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.9,1100,1300,1200,08-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1100,1300,1200,07-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1200,1400,1300,05-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1000,1200,1100,04-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.7,1100,1300,1200,03-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.7,1000,1300,1200,02-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,01-Nov-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,1200,1300,1250,31-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,29-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1200,1150,28-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,800,1000,900,27-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.6,900,1100,1000,26-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,24-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.6,1100,1300,1200,19-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,900,1100,1000,18-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,1100,1300,1200,17-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1100,1300,1200,15-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,1100,1300,1200,14-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.7,1100,1300,1200,13-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.1,900,900,900,05-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,800,1200,1000,04-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.5,800,1200,1000,03-Oct-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.4,900,1100,1000,28-Sep-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.2,900,1100,1000,26-Sep-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.2,1400,1600,1500,24-Sep-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.2,800,1000,900,23-Sep-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,900,1000,950,22-Sep-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.2,1000,1200,1100,21-Sep-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.2,900,1100,1000,14-Sep-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,900,1100,1000,13-Sep-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,900,1100,1000,12-Sep-23
Madhya Pradesh,Chhindwara,Chhindwara(F&V),Cowpea (Veg),Vegetables,0.3,1000,1200,1100,10-Sep-23
