Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 294.06,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,0.08,17800,17800,17800,13-Sep-19
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,24,6000,7600,7600,28-Jun-19
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,0.42,14000,14000,14000,26-Jun-19
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,0.8,14000,14500,14500,07-Jun-19
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,0.6,17200,17500,17500,24-May-19
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,14.4,5500,5500,5500,08-May-19
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,0.7,19200,19200,19200,07-May-19
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,2.2,19300,19300,19300,19-Sep-18
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,3,13500,13500,13500,30-Jun-18
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,1.2,16700,16700,16700,31-May-18
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,22.5,14000,14000,14000,12-May-18
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,8.2,12000,12000,12000,04-May-18
Madhya Pradesh,Bhopal,Bhopal,Bold,Spices,2.3,17100,17100,17100,23-Apr-18
Madhya Pradesh,Shehdol,Budhar,Bold,Spices,0.06,14285,14285,14285,09-Jul-19
Madhya Pradesh,Shehdol,Budhar,Bold,Spices,0.1,14300,14300,14300,21-Jun-19
Madhya Pradesh,Shehdol,Budhar,Bold,Spices,0.4,16000,16000,16000,06-Mar-19
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,51000,51000,51000,21-Aug-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,51000,51000,51000,26-Jul-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,27.3,5000,8311,7300,25-Jul-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,50751,50751,50751,27-Jun-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,36800,36800,36800,15-Jun-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,39400,39400,39400,23-May-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,41000,41000,41000,17-May-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,39401,39401,39401,16-May-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,40901,42100,41000,15-May-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,42600,47750,44400,12-May-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,41000,41000,41000,10-May-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,34000,45800,43011,08-May-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,12501,42000,33500,27-Apr-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,36600,38000,37000,26-Apr-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,37000,37000,37000,25-Apr-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,36001,36001,36001,24-Apr-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,33000,41000,39300,15-Apr-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,37500,42650,41000,11-Apr-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,40901,40901,40901,10-Apr-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,25950,35000,31700,08-Apr-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.2,12600,19501,16000,27-Mar-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,27200,28501,28500,28-Feb-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.2,13600,13600,13600,23-Feb-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,18000,21000,19000,21-Feb-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,7500,26400,11500,01-Feb-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,28001,28001,28001,31-Jan-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,30001,30525,30300,23-Jan-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,27801,33000,30001,10-Jan-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,16000,23001,16001,03-Jan-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,29500,29500,29500,02-Jan-23
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.2,22370,26100,24000,28-Dec-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,24501,24501,24501,23-Dec-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,22500,22500,22500,22-Dec-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.3,12400,18601,16000,19-Dec-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,21551,23600,22400,15-Dec-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,18400,18400,18400,13-Dec-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,20500,20851,20611,12-Dec-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,22501,22501,22501,22-Nov-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.5,11200,19500,16000,31-Oct-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,20655,20655,20655,11-Oct-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.1,14255,17550,15000,06-Oct-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.3,9250,19101,17000,29-Sep-22
Madhya Pradesh,Neemuch,Neemuch,Desi,Spices,0.4,19075,19100,19090,28-Sep-22
